Num,ID,Location,SearchType,PropertyType,TITLE,AGENT_ID,AGENT_BRANCH,AGENT_NAME,AGENT_SELLER_TYPE,BATHROOMS,BEDROOMS,BER,CATEGORY,MONTHLY_PRICE,PRICE,LATITUDE,LONGITUDE,PUBLISH_DATE
1294,5397046,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Aghada Village, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,2 Bath,5 Bed,E2,Buy,235000,"€235,000",51.835623,-8.210159,2023-08-30 16:16:01
1295,5358295,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Sea Breeze, Hillside, Aghada, Co. Cork",1957,Cronin Wall Properties,Shay Cronin,BRANDED_AGENT,3 Bath,4 Bed,C2,Buy,585000,"€585,000",51.842122,-8.204495,2023-09-01 08:17:57
1296,5357959,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Saint Anthonys, Aghada, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,1 Bath,3 Bed,E1,Buy,185000,"€185,000",51.836207,-8.21013,2023-07-28 13:51:25
1297,5296238,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"9 Curragh Glen, Aghada, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,3 Bath,4 Bed,C1,Buy,355000,"€355,000",51.836171,-8.207607,2023-09-11 08:23:28
1298,4689213,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"Aghada Hall, Aghada, Midleton, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,5 Bath,5 Bed,C3,Buy,Price on Application,Price on Application,51.840713,-8.218496,2023-09-11 08:23:28
1299,4527671,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.HOUSE,"2 Lower Aghada, Rostellan, Co. Cork",9993,AherneLoughnan,Liam O Leary,UNBRANDED_AGENT,3 Bath,3 Bed,D1,Buy,230000,"€230,000",51.843397,-8.209365,2023-06-29 10:31:41
1300,5331918,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Ard an Ghleanna, Aghada, Co. Cork",2569,Cahalane Skuse Auctioneers & Valuers,Niall Cahalane,UNBRANDED_AGENT,N.A.,3 & 4 bed,NA,New Homes,395000,"From €395,000",51.83612682215656,-8.212902206634993,2023-07-11 11:13:15
1301,5329179,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Ard an Ghleanna, Aghada, Co. Cork",1957,Cronin Wall Properties,Cronin Wall,BRANDED_AGENT,N.A.,3 & 4 bed,NA,New Homes,395000,"From €395,000",51.835916632520195,-8.213535304600782,2023-07-24 08:44:19
1302,5402945,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Hadwell, Aghada, Co. Cork",2178,Hegarty-Properties,Adrianna Hegarty,BRANDED_AGENT,1 Bath,4 Bed,D2,Buy,395000,"€395,000",51.839955,-8.223758,2023-09-05 14:56:08
1303,5397046,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Aghada Village, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,2 Bath,5 Bed,E2,Buy,235000,"€235,000",51.835623,-8.210159,2023-08-30 16:16:01
